value,bid_q1,ask_q1,bid_q2,ask_q2,bid_q3,ask_q3,bid_q4,ask_q4,bid_q5,ask_q5,date
0,0,0,104,105,52,68,1,147,123,120,2024-11-29
1,1,0,0,0,0,0,0,0,0,0,2024-11-29
2,2,1,0,1,0,2,0,0,0,0,2024-11-29
3,0,0,0,0,0,0,0,0,0,0,2024-11-29
4,0,0,0,0,0,0,0,0,0,0,2024-11-29
5,33,1,0,0,0,0,0,0,0,0,2024-11-29
6,3,0,0,0,0,0,0,0,0,0,2024-11-29
7,3,10,0,1,0,7,0,0,0,0,2024-11-29
8,0,0,0,0,0,0,0,0,0,0,2024-11-29
9,0,0,0,0,0,0,0,0,0,0,2024-11-29
10,1,11,0,2,0,0,0,0,0,0,2024-11-29
11,5,1,0,0,0,0,0,0,0,0,2024-11-29
12,0,0,0,0,0,0,0,0,0,0,2024-11-29
13,6,6,0,0,0,0,0,0,0,0,2024-11-29
14,4,0,0,0,0,0,0,0,0,0,2024-11-29
15,12,0,2,0,4,0,0,0,0,0,2024-11-29
16,0,1,0,0,0,0,0,0,0,0,2024-11-29
17,0,2,0,0,79,0,4,0,66,0,2024-11-29
18,0,0,0,0,0,0,0,0,0,0,2024-11-29
19,0,16,0,0,0,0,0,0,0,0,2024-11-29
20,2,2,0,0,0,0,0,0,0,0,2024-11-29
21,19,1,0,0,0,0,0,0,0,0,2024-11-29
22,0,0,0,0,0,0,0,0,0,0,2024-11-29
23,3,0,0,0,0,0,0,0,0,0,2024-11-29
24,5,0,0,0,0,0,0,0,0,0,2024-11-29
25,2,2,0,0,0,0,0,0,0,0,2024-11-29
26,0,43,0,0,0,0,0,0,0,0,2024-11-29
27,0,0,0,0,0,0,0,0,0,0,2024-11-29
28,0,13,0,0,0,0,0,4,0,0,2024-11-29
29,0,0,0,0,0,0,0,0,0,0,2024-11-29
30,0,0,0,0,0,0,0,0,0,0,2024-11-29
31,0,1,0,0,0,0,0,0,0,0,2024-11-29
32,0,0,0,0,0,0,0,0,0,0,2024-11-29
33,3,0,0,0,0,0,0,0,0,0,2024-11-29
34,0,4,0,0,0,0,0,0,0,0,2024-11-29
35,3,0,0,0,0,0,0,0,0,0,2024-11-29
36,11,0,0,0,0,0,0,0,0,0,2024-11-29
37,6,0,0,0,0,0,0,0,0,0,2024-11-29
38,0,2,0,0,0,0,0,0,0,0,2024-11-29
39,15,0,0,0,0,0,0,0,0,0,2024-11-29
40,1,0,0,0,0,0,0,0,0,0,2024-11-29
41,2,0,0,0,0,0,0,0,0,0,2024-11-29
42,0,0,0,0,0,0,0,0,0,0,2024-11-29
43,0,0,0,0,0,0,0,0,0,0,2024-11-29
44,1,0,0,0,0,0,0,0,0,0,2024-11-29
45,0,2,0,0,0,0,0,0,0,0,2024-11-29
46,29,0,0,0,0,0,0,0,0,0,2024-11-29
47,1,0,0,0,0,0,0,0,0,0,2024-11-29
48,0,0,0,0,0,0,0,0,0,0,2024-11-29
49,0,0,0,0,0,0,0,0,0,0,2024-11-29
50,0,0,0,0,0,0,0,0,0,0,2024-11-29
51,0,0,0,0,0,0,0,0,0,0,2024-11-29
